nama_pengguna,rating,tanggal,ulasan
Heri Gunawan,5,2026-03-14 18:54:50,memudahkan dlm segala hal seperti tranfer dan lain2
Rivaldo Ancura,1,2026-03-14 18:48:56,aplikasi nya sering eror klo mau di buka pasti muncul layar putih gk bisa login sudah mau 3 bulan ini
ZkyAs 22,1,2026-03-14 18:37:55,"merugikan, di potong by admin gk jelas. orang gak pakek ATM ada by penggunaan ATM, aneh. mending bank online gratis."
Pratama Aditia,5,2026-03-14 18:30:39,bagus dan cepat untuk transaksi
Anca Hamsa,5,2026-03-14 18:25:10,keren suka banget
Janur Biangkerox,1,2026-03-14 18:23:54,makin kesini brimo kaya mainan aneh susah masuk keluar lagi download daftar Kambu lagi sudah lebih 5kali saya gini terus tolong dong pihak BRI yang benar kalo bikin aplikasi kaya ga seeius
Idris Idris,3,2026-03-14 18:13:18,pelayanan sangat cepat dan aman
Agung Calam,5,2026-03-14 18:10:23,kenapa klu sinyalnya jelek ga bisa buka apk
afrizal rizal,5,2026-03-14 17:58:01,lancar mudah
Al Simbolon,1,2026-03-14 17:56:37,"saya mau update kenapa sandi salah,, padahal itu kata sandi yang saya gunakan selalu. semakin gak jelas aja ini layanan BRIMO."
Sri damayanti,3,2026-03-14 17:49:08,sering kali ga bisa topup dana
Esca RezX,1,2026-03-14 17:48:21,"lagi dan lagi kendala transaksi diproses dan saldo terpotong kembali lagi, UPDATE SISTEM LU KLO G BECUS URUS TRANSAKSI 24 JAM. TULIS AJ SEKALIAN ""TRANSAKSI DIATAS JAM 22.00 WIB BISA TERKENA KENDALA"" G SEKALI DUA KALI KENA HAL BEGINI. PADA KERJA APA KAGAK LU PADA??!!"
firmansyah wilfa,1,2026-03-14 17:46:30,aplikasi burik login aja susah
Tiana Luci,5,2026-03-14 17:44:51,meringankan beban pembayaran apapun ♥️😍
Setiyono 2014,5,2026-03-14 17:27:02,Bersama BRImo Memberikan kemudahan dalam setiap Bertransaksi .
Neng Mey,5,2026-03-14 17:17:27,"mantappp, memudahkan pengguna"
Moecharie Djarodt,5,2026-03-14 16:48:03,aplikasi yg mudah digunakan...
Ideal Senakin,3,2026-03-14 16:42:08,kenapa brimo sy gak bisa dibuka layar nya putih pdh udh update
R K Mlbb (MZ R),5,2026-03-14 16:34:01,memudahkan dalam kebutuhan sehari hari
Rayzon Rayzon,5,2026-03-14 16:23:23,sangat membantu peluang bisnis
Ida Farida,5,2026-03-14 16:15:07,melancarkan transaksi. dan membuat kita lebih mudah
De Yoga,5,2026-03-14 16:12:53,sangat mudah Dan episien
Letto Jr,1,2026-03-14 16:06:09,payah
DIMAS DNR,5,2026-03-14 16:01:39,bagus apk nya enak
Rudi Tea,1,2026-03-14 15:48:18,aplikasi nya susah di buka keluar sendiri .coba dong di tingkatkan lagi kenyamanan nya
Muhammad Syahrul,5,2026-03-14 15:40:31,Sangat Puasa
Edi syaputra,1,2026-03-14 15:39:18,"BRImo nya knapa ya , kok gak bisa login setiap di buka pasti gak bisa berhari"" gitu truss, yg tau kasi solusi dong"
PLACIDUS GALLA,5,2026-03-14 15:20:47,"luar biasa...daftar nggak pake lama...langsung transfer ke rekening bank lain, hanya hitungan detik...Bravo BRI..."
kikin cahelek,3,2026-03-14 15:18:27,setelah di update kok malah g bisa di buka ya kak. cuma tampil layar warna putih doang.. inpo solusinya kak. thanks
Syahrudin Jza,3,2026-03-14 15:12:51,"kenapa apk brimo skarang ini susah sekali masuk nya. padahal akun kita sudah terdaftar tinggal masuk ja lagi. tpi kenapa malah tidak bisa masuk, malah di kirim nya link OTP lewat sms, pas kina klik link nya tetap ja tidak bisa masuk brimo. tolong di permudah lagi cara masuk nya kalo sudah terdaftar."
Choirul Umam,5,2026-03-14 15:00:20,sangat membantu & yang pasti memuaskan
lailul khomsatun,5,2026-03-14 14:59:07,Sangat membantu mempermudah transaksi apapun
TRIFOSA CITRA LIEM II,1,2026-03-14 14:57:19,"Maaf ini Negara Pancasila : Mengapa mbanking saya , yg agama kristen sesuai ektp = kok diganti agama islam , itu tidak benar menyalahi aturan mohon diganti isi an data nya itu !!!!!"
shinta silviana,5,2026-03-14 14:57:12,Brimo setiap kali update aplikasi selalu tidak bisa akses login kejadian seperti ini sudah berulang kali terjadi
Steven Kemvot,5,2026-03-14 14:48:37,aplikasi sangat baik dan membantu
Lingga Pradnya,4,2026-03-14 14:41:21,apk nya terlalu berat saya kesulitan membuka apknya. terkadang harus di hapus dan instal ulang. tapi ribet minta verifikasi ulang😭
Wishnu Wasis,5,2026-03-14 14:40:41,cepat dan tidak ribet
Anis Fitriya,2,2026-03-14 14:34:28,ini kenapa akun bri saya tidak bisa masuk padahal pasword username benar saya ulangi terus menerus tidak bisa tolong perbaiki dan perbaiki lagi saya setelah keluar sebentar aja dari akun bri di suruh login lagi al hasil akun saya tidak bisa masuk padahal pasword username saya sudah benar
Mila Afriana,5,2026-03-14 14:12:32,mudah dan praktis digunakan
Mas Mulyanto,5,2026-03-14 14:05:47,bisa mempermudah segala transaksi
Iman Zuhri,5,2026-03-14 13:58:31,Kerennn
Ahmad Rafy,3,2026-03-14 13:40:00,sering blank ...hapus instal lgi gitu terus....gmn sih brimo
Anastasya Peka,5,2026-03-14 13:34:10,bagus dan dapat mempermudah pengguna
Marsel sarendaren,5,2026-03-14 13:22:56,"sangat bagus dan sangat2 membantu, terbaik 🫡"
Gun Wan,5,2026-03-14 13:18:15,kenapa download nya lemot bangat aplikasi ini ya
M. BAEHAKI,5,2026-03-14 13:12:07,aplikasi sangat membantu trutama ketika kita keluar rumah.
Andi Azanna,3,2026-03-14 12:59:21,"saya setiap mau login brimo selalu muncul layar putih ,saya sudah update tetapi tetap saja ..sudah saya coba berulang kali tetap sama saja hanya muncul layar putihhh"
Ahmad Jafar,4,2026-03-14 12:53:27,alhamdulillaah
Yan De,1,2026-03-14 12:46:04,"mulai bulan Januari 2026 sampai maret masih sj, ngeblank putih.kayak ga ada perbaikan dr pihak brimonya. tiap mau transaksi harus foto ktp dan wajah dulu. ganti sj nama aplikasinya. aplikasi putih."
Vanzz Vanzz,3,2026-03-14 12:45:05,"kamera verifikasi nya butut, gagal trus pdahal udah jelas"
Zaenal Arifin,5,2026-03-14 12:37:25,sip sangat bermanfaat
Ali Usman,5,2026-03-14 12:21:19,"assalamu'alaikum, mohon maaf kenapa setiap kali kami buka aplikasi brimo, muncul warna putih, dihapus baru instal ulang baru bisa, itu kendala nya apa ?"
SRI RAHAYU,5,2026-03-14 12:18:37,berkah
Pengguna Google,5,2026-03-14 12:11:37,"permintaan lupa username sdh berulangkali tp tidak bisa ditindaklanjuti, buka link malah tdk ada respon.. haloo apakah bisa dibantu... tlg infonya agar bintangnya tdk turun, terimakasih"
Hamdan Amadiy,5,2026-03-14 12:10:23,update terus service dan kecanggihannya
Meisya nur azzahra,2,2026-03-14 12:08:55,aplikasi buat nasabah rugi transfer pakai briva masih dalam proses pengaduan kurang tanggapi datang ke kantor malah tidak dapat respon positif. dana saya bagaimana sedangkan uang tersebut nominal jutaan
randi okta,5,2026-03-14 11:49:08,jangan lagi om ad pemberitahuan tapi saldo bekurang seratus dua ratus kl setiap hari ad 5 pemberitahuan bnyak juga kl di x 1 bulan
Komang Budi,5,2026-03-14 11:42:55,baguslah cpt dan ok
Hamzah Boejang,5,2026-03-14 11:36:07,mempermudah...
Ichsan Wartabone,1,2026-03-14 11:32:11,ribet buat pengurusan harus ke kantor sedang masalahnya bisa di atasi karna nomor telpon bank lain nga begini cmn bri
Hamsing Julia,5,2026-03-14 11:30:53,"bisa minta bantuannya,, sudah 2 hari ini apk brimo aku engak bisa loding,, pas lagi butuh mau transaksi buat orang rumah,,"
Ahmat Wardi,5,2026-03-14 11:28:55,Cepat aman
Rita Gunawan,5,2026-03-14 11:08:38,👍🏻👍🏻👍🏻
wina esti,5,2026-03-14 11:01:51,bagaimana utk menambahkan akun rek lain ya
vitus purnomo,1,2026-03-14 10:56:03,"BIKIN AKUN SUSAH, JARINGAN TIDAK STABIL, LOADING TERUS, INI SEKELAS BANK LHO"
Ayu Ayu,5,2026-03-14 10:49:10,mkasih semoga makin mwju brimo kedepannya
Asep Muhtar,5,2026-03-14 10:39:42,coba dulu iya
Nurdjannah Sadikin,5,2026-03-14 10:31:32,Good and fastly
Syawal Juniar,5,2026-03-14 10:25:12,good layanan cepat transfer cepat
Yan,5,2026-03-14 10:22:40,hai kak kenapa setiap mau login aplikasinya brimo layar putih terus tidak bisa login
Mama Roberto Frahanama,5,2026-03-14 10:21:38,BRI Merchantnya kok susah banget sih verifikasi fotonya? Jadi belum kelar-kelar dapat QRIS nya 😂
NATANIEL GOBAY,5,2026-03-14 10:20:15,medeka
Yoyo Woyo,3,2026-03-14 10:14:53,"kenapa brimo gak bisa masuk,mau masuk muncul layar putih,cache sudah dihapus masih tetap sama saja"
Nazril Alfareza,1,2026-03-14 09:46:23,aplikasi makin buruk delay pas buka di awal
sahmin mas,5,2026-03-14 09:36:27,"sangat bermnfat, tapi sayang trllu banyak biaya adminx"
Haryadi Adisa,5,2026-03-14 09:35:35,siap sedia untuk di gunakan di setiap waktu
Firdha Nur,1,2026-03-14 09:26:42,"knp si aplikasi nya ga dibuka beberapa jam dan sehari aja uda ngeblank layar putih, lagian jg ga harus tiap saat buka aplikasi brimo, masa setiap mau transaksi hrs uninstall trs verifikasi lagi, jadi mempersulit buat melakukan transaksi, apalagi klo transaksi nya urgent. bingung, minta tolong diperbaiki soalnya sering bgt ngebug."
Jum Mini,5,2026-03-14 09:23:46,keren memudahkan untuk transaksi apa aja
Firdaus Tarigan,4,2026-03-14 09:18:37,"kalo bisa saran tampilan rekening emas via Brimo dibuat nuansa warna berbeda, agar kadang gak buat nasabah bingung membedakan rekening saldo tabungan uang dengan tabungan emas"
arif rahman,5,2026-03-14 09:09:26,pokoknya the best
Emerensiana Amur,1,2026-03-14 09:05:39,"Padahal hnya mau daftar tapi loadingnya sangat lama,buruk skali. saya sudah coba berulang²kali tapi tidak jadi². kl aplikasi hanya menyusahkan tidak usah buat"
Andri Riyanto Channel,5,2026-03-14 08:57:26,luar biasaa
Yogi 24,5,2026-03-14 08:53:49,mudah bertransaksi dan aman
Lunalynn,3,2026-03-14 08:53:22,proses aduan lambat
Jayadih Hidayatulloh,5,2026-03-14 08:50:08,Best of the best /Good
Reni Theresia,5,2026-03-14 08:49:14,mohon maaf bapak (ibu)saya mau tanya aplikasi brimo saya tidak bisa dibuka mohon petunjuk Nya
Soleh M'arufi,5,2026-03-14 08:47:07,brimo good
Bhisma Dhewa bratha,1,2026-03-14 08:41:23,aplikasi baru makin sulit login. bikin jengkel.
Gugi,1,2026-03-14 08:37:17,"itu masalah aplikasi yg tiap di buka jadi putih belom kelar?, saya masih gitu terus ampe install ulang Hanphone saya tetep aja gitu. jd ga kepake jauh2 bikin brimo eh gini aplikasinya"
Tis Sutisna,5,2026-03-14 08:26:57,"Alhamdulillah,selama pakai brimo gak pernah ada kendala apapun."
Siti Aisyah,1,2026-03-14 08:23:21,"BRI ini cari cuangkah dari nasabah yang hampir tiap hari download aplikasi brimo? Knapa keluhan nasabah tidak ditindaklanjuti. Masa' setiap setelah 1 hari download aplikasinya kembali muncul layar putih. Trus setiap keluhan yg disampaikan hanya ditanggspi dgn minta maaf dan dsruh sampaikan melalui email. Sya email berkali-kali tpi tdak ada juga solusinya. malah ribet. Ayo admin, tindaklanjutilah keluhan kami. jangan cuma kirim template jawaban. bosan kami membacanya."
Rizky Riz,1,2026-03-14 08:21:55,"mbangking paling ribet udh verifikasi wajah gagal terus ribet pokoknya ada timernya juga kalo di ulng"" terus kena CD smpe 24 jam pdhl di mbangking/ewallet lain satset masuk satu kali verfikasi pasti berhasil BRICribet ampe bolak balik ke kantor terus cuma perkara login gagal ampe lemess frutasii cape"
Kangada@gmail.com Ada,4,2026-03-14 08:21:03,kok eror aja
Hari ono,1,2026-03-14 08:18:30,"verifikasi identitas susah sekali saat masuk kembali ke akun karena tombol foto tidak ada.gk seperti bank lain yang ada tombol foto jadi harus lama verifikasi karena harus menunggu kotak sampai berwarna biru.aq ambil saja saldonya,terus uninstal aja mending pakai selain ini"
alif komarudin,5,2026-03-14 07:46:33,mantab sangat membantu
Hari Yono,5,2026-03-14 07:43:42,"memudahkan kita dalam mengirim, atau mengsmbil uang."
yuda Pranata,5,2026-03-14 07:38:04,lebih gampang paki brimo
Arim Suprapti,5,2026-03-14 07:37:56,"Aplikasi yg Memudahkan sgl transaksi, semoga tdk ada kendala apapun ke depannya..."
juliiaoxthiin 88,5,2026-03-14 07:34:01,brimo paling nyaman
Momochi Toyo,1,2026-03-14 07:29:21,"Selalu gagal buat akun baru padahal sudah sesuai ikuti instruksi isi sesuai dengan data tapi tetap aja gagal terus ribet amat ini aplikasi, gak pernah di cek apa ya aplikasi nya bisa jadi ada bug."
Timur Suherlambang,5,2026-03-14 07:27:27,mudah pemakaian nya
Hari Yanto,5,2026-03-14 07:26:05,muda aman dan cepat
Sutrisno Gglc,5,2026-03-14 07:22:44,memudahkan nasabah
hosnawati 123,5,2026-03-14 07:19:52,"sangat membantu, tidak perlu lagi ke ATM atau ke bank, terimakasih BRImo🙏"
Robert Sitorus att3,5,2026-03-14 07:18:46,bagus dan cepat prosesnya saran sy BRI tetap tingkatkan fitur2 nya serta menjaga keamanan mitra spy BRI semakin terdepan apalagi dengan memberi byk promosi dan biaya potongan bulanan yg sangat rendah
James Paerung,5,2026-03-14 07:14:37,Sangat menolong proses transaksi!
ndut singgih,1,2026-03-14 06:58:31,"Payah aplikasinya sekarang,keluhan sama seperti yg lain ga mau mumcul menunya hanya layar putih saja"
Suprapto Prapto,5,2026-03-14 06:55:12,Pelayanan bagus dan mudah
M F R,1,2026-03-14 06:52:47,"lah ini gimana sii,mau daftar kog tiba² mencapai limit,gabisa lagi ??pdhal di awal fine² aja lohh,udah verifikasi OTP Email , lawak bner ini😄😄"
Nolis Setiawati,5,2026-03-14 06:49:32,Layanan bagus
bisma sembiring,1,2026-03-14 05:51:21,Kenapa BRImo saya setiap saya keluar pas mau masuk lagi harus login lagi setiap masuk harus login terus
ogie own,5,2026-03-14 05:34:37,Very good 💯 👍
Helda Da,5,2026-03-14 05:31:58,"permisi, kenapa ya habis saya instal aplikasi brimonya ga bisa kebuka"
Alfiah Kaisa,5,2026-03-14 05:30:29,kenapa saldo gagal dimuat ?
Agung Sudiana (Aki),5,2026-03-14 04:50:49,Mudah digunakannya.
Mbah Choyo,4,2026-03-14 04:47:54,Diklik lama bukanya di V2.96 ini
Uu Maryono,5,2026-03-14 04:26:37,brimo keren dan gak ribet
Siti Maemunah,1,2026-03-14 04:16:18,"kenapa sih sekarang setiap buka apk brimo lag layar putih mulu,harus aja instal ulang gk jelas banget,bikin ribet aja,plis dong yg bener napa hadeuhhh"
Dani Arya,5,2026-03-14 04:09:22,Terimakasih sangat sangat membantu dengan segala kemudahan dlam proses pendaptaran rekening baru.
Mamad Rizal Yulianto,3,2026-03-14 04:04:51,aplikasi Brimo baru update tapi malah gak bisa dibuka... info min ???
Edi Az,5,2026-03-14 04:03:24,membantu bnget dengn ad ny aplikasi BRI mo
Muliati DC,5,2026-03-14 03:33:32,Alhamdulillah mudah diakses
Nona WA,4,2026-03-14 03:22:05,"kenapa brimo tidak perna ada notifx lgi uang keluar/ masuk, harus cek saldo dlu bru ditau ada uang masuk atau tdk 🥱🥱🥱"
Iwan wasni,5,2026-03-14 02:57:29,sangat amat membantu aplikasi nya
HR PROJECT,5,2026-03-14 02:56:51,"kenapq ini brimo force close trus yaaa,ada update yg error kah"
Zul Fajri,5,2026-03-14 02:44:41,mantap bosq
Arya Wardans,5,2026-03-14 02:38:30,mantab pokoknya
Ahmad Dahlan,3,2026-03-14 01:50:49,"Aplikasi BRImo sekarang login susah banget, di layar cuma ada warna putih saja, saya harus berkali kali hapus unduh lagi, hapus unduh lagi, verifikasi terus menerus, 1 hari 2 hari bisa login, selanjutnya eror lagi, bagaimana kah aplikasi brimo ini???"
Tony Putra,5,2026-03-14 01:07:36,mantap no ribet
budi wahyu,5,2026-03-14 00:39:35,lumayan membantu kemudahan masyarakat pengguna 👍👍
Dul argo Dul,4,2026-03-14 00:38:55,trmkasih sdh bisa dibuka lgi aplkasi brimonya dngan lancar
Husain Jalin,5,2026-03-14 00:15:50,"Brimo tak bisa di akses,Krn mungkin baru ganti hp dari hp Samsung ke hp Oppo, bagaimana solusinya dan ada aplikasi Baru brimo tolong infonya,tks wassalam"
Hermansyah 007,5,2026-03-14 00:13:16,luar bisa aman terkendali
Anen Sujana,5,2026-03-14 00:13:11,sering terkendala apabila melakukan transaksi via qris. pengaduan pun ditindaklanjuti dlm 10 hari kerja. transaksi gak seberapa tp proses nya terlalu lama.
berudu pordjo,5,2026-03-14 00:00:26,susah log in ... aplikasi tiba tiba sering terhenti ngelag
Soleh Hafidz,5,2026-03-13 23:59:38,"Enak dan mempermudah penggunanya,, terimakasih BRI"
Abd Iskandar,1,2026-03-13 23:37:47,setiap masuk brimo selalu gagal cuma layar putih aja
Sofian Pp,5,2026-03-13 23:26:36,halo kapan bisa diverifikasi dan dicairkan dana dplk lewat brimo? sudah 10hari lebih
Kayah Sukses,5,2026-03-13 23:13:52,sangat rekomendasi ☺
njwlisnrni,4,2026-03-13 23:08:37,makasi telah membuat hidup saya tambah simpel
Mohammad Lukman Sodiq,5,2026-03-13 23:07:01,simple dan fitur melimpah easy going buat transaksi harian?🙏🤝
Warkop M,5,2026-03-13 23:04:38,cukup baik semoga makin baik
Saepul Ilham,2,2026-03-13 22:51:45,untuk sekatang brimo beda sama yang dulu sekarang sering lag nya muncul layar putih dan harus hapus lalu donwload lagi untuk bisa login
Aufa Mecca,5,2026-03-13 22:41:30,brimo top mantap is the best
putune madrem,1,2026-03-13 22:30:43,aplikasi nya sering error
Jeffry blogling,5,2026-03-13 22:25:27,the best terbaikkk
Arief Danang F.,1,2026-03-13 22:23:50,"Aplikasi aneh, setelah update malah muncul pengaturan aksesibilitas terus, padahal sudah non aktif semua."
Endi Priyansyah,1,2026-03-13 22:16:55,knapa tiap mau masuk brimo layar nya putih semua trus gabisa login
Erra Mukwiyatul I,5,2026-03-13 22:12:53,"saya suka, saya suka"
Arhim Abd,5,2026-03-13 22:11:59,sangat baik dan terima kasih sudah memudah kan
JE'EL JERSEY APPAREL,1,2026-03-13 22:11:47,Apk sayang stelah di upgrade ko jdi harus terus verifikasi mulu
efendi Imam,5,2026-03-13 22:09:23,mudah cepat dan stabil
Sri Mulyani,4,2026-03-13 22:06:33,omke gas
Iin Sunia,5,2026-03-13 22:05:08,mudah aman dan stabil
ABDUL WAFI,5,2026-03-13 21:47:58,clear cache tetap gak bisa dibuka
MAI SAROH,5,2026-03-13 21:47:02,sangat membantu buat bertransaksi
kangmas indra,5,2026-03-13 21:44:56,mantap cepet
Ikhwanul Iksan,1,2026-03-13 21:43:26,kenapa kok sekarang gampang eror
maman dian permana,5,2026-03-13 21:37:54,"sempurna, ternyata aplikasi ini menampung semua pelayanan perbankan"
Supri Yon,5,2026-03-13 21:37:40,"kenapa ya?, akhir"" ini brimo sering agaa error kayak aplikasi nya dibuka lama sekali kadang saat sudah diloading logo, kemudian loading tampilan aplikasi seharusnya ini ko?, malah cuman white screen doang aduhh... gimana dong ini aplikasinya? masa error nya selalu white screen terus, ini lama"" bisa dicap aplikasi jelek loh... klo terus"" san begini aduh.."
Minka Maghfira1405,5,2026-03-13 21:36:24,"Brimo ku udah 3 hari gabisa dibuka, masalahnya password atau username keliru padahal udah bener, dan pas di klik lupa password disuruh masukin pin, pinnya ikutan salah, gimana yaa?"
jenny panungkelan,5,2026-03-13 21:29:53,Bagus sekali dan sangat membantu.
Tedy Widodo,5,2026-03-13 21:26:42,sippp....
Devy Zulyanthy,5,2026-03-13 21:15:26,Hallo... Apa ada solusinya untuk notifikasi BRImo saat ada pemberitahuan? Kadang tidak ada suara pas ada notif masuk.. Terima kasih
Sa'isna Watiey01,2,2026-03-13 21:08:37,"Nyimpan uang di mbanking suka tiba² kepotong sendiri uangnya, Seperti waktu itu uang 1jt 73 lusanya pas dicek tinggal 1jt 53 trus ada jarak 3hari dicek tinggal 1jt 43 pdhl betah pake brimo🥴 tolong diperbaiki ya😊"
Yudi Garnawan,5,2026-03-13 20:59:39,susah login nya
Iwan Setiawan,5,2026-03-13 20:55:35,hari ini setelah apdet brimo saya knp gx bisa ke buka terus ya tolong solusinya saya perlu banget ini
Syaiful Anwar,5,2026-03-13 20:46:38,layanan baik
Galang Ade,5,2026-03-13 20:27:47,mempermudah keperluan
EZZE IRFAN,5,2026-03-13 20:22:39,begitu mudah layanan nya
Dadan Ruswita,5,2026-03-13 20:21:43,"simpel, mudah"
asyifah lamise,5,2026-03-13 20:12:29,BRI BRIMO sangat bermanfaat dan memudahkan utk penarikan dana bila di butuhkan di manapun kita berada menurut sy BRI Brimo semoga ke depanx lebih mantap LG
Guntur Syahputra,5,2026-03-13 19:58:00,kok ga bisa nulis . di emailnya min
Dionisius Nongko,5,2026-03-13 19:56:44,"transfer gampang,,tida ribet"
Agus Setyawan,5,2026-03-13 19:53:09,"aplikasi mantap sekali, tidak ada kendala pun.."
Udi Miing,5,2026-03-13 19:42:28,akses nya lebih gampang
Petrus Manjur,1,2026-03-13 19:38:31,"makin kesini makin jelek ini brimo, update mulu"
Suradi 357,5,2026-03-13 19:38:30,"Kak bantu saya, nama saya gak muncul atau paswodnya juga kosong kak. Tolong di per baiki lagi kak"
Kristanti Wahyuningtyas,5,2026-03-13 19:30:50,Brimo mudah dan praktis
Ahmad Dhani,5,2026-03-13 19:27:24,untuk saat ini msi lancar jdi saya ksi B 5
RIAN NURUSSOFYAN,5,2026-03-13 19:26:47,udah bagus
dianasari channel,2,2026-03-13 19:20:47,kok makin ribet skrng brimo tiba tiba tidka bisa log in
Youra Kahfi,5,2026-03-13 19:11:24,lumayan praktis
Awalah,5,2026-03-13 19:10:59,terimakasih sdh memberikan kemudahan dan pelayanan terbaik kepada kami sebagai nasabah 😘
Danyi Ahmad,5,2026-03-13 19:07:23,sangata mantap ini aplikasi
Mfc Mario,5,2026-03-13 19:06:53,sangat membantu saya dalam usaha saya
Irwan Iwan,4,2026-03-13 19:00:04,semakin membaik
dwi ardi,2,2026-03-13 18:59:38,"apk nya kok sekarang sering dakbisa dibuka ,kalok bisapun harus ferivikasi dari awal lagi"
zpur mfhaikal,3,2026-03-13 18:53:29,"mengapa brimo saya tidak bisa log in padahal pasword dan username benar,setelah hp di reset"
Afrizal Fajriano,5,2026-03-13 18:47:45,aplikasi cukup baik dan mudah digunakan. semoga keamanan nya lebih di perketat
Popy hendrawan,1,2026-03-13 18:45:28,"tiap hari harus instal ulang gara gara tiap buka aplikasi pasti ngeblank, klw gk instal ulang gk bakalan bisa di buka."
Sulis Tiono,5,2026-03-13 18:44:18,Dah ke 2 x nya gk bisa login..tiap login selalu muncul layar putih
nur kholis,4,2026-03-13 18:37:38,untuk penarikan tunai lewat brimonya tolong di tambahin limit penarikannya kak. kelamaan klo cuma 1jt saldo paling banyak yang bisa di tarik.
Aulia Lia,3,2026-03-13 18:35:38,"kenapa brimo sy tidak bisa di buka ,muncul layar putih trus ,mohon bantuannya kk"
Duma Mega,5,2026-03-13 18:26:04,makin di tingkatkan sistemnya
JLC Official,1,2026-03-13 18:21:57,"nggak bisa dibuka kak, mohon update nya"
Amei Amoy,1,2026-03-13 18:19:11,tiap mau log in ngeblank trus.
Lukman NHK,1,2026-03-13 18:15:12,apa apa lambat anj
Uut Aizah,5,2026-03-13 18:13:58,udah oke min..kasih bintang 5
Arif W,5,2026-03-13 18:08:31,Ok ...Mantap ...
Tinus Seno,5,2026-03-13 17:52:05,mudah & bermanfaat
andh Che,1,2026-03-13 17:50:26,brimo ini yg bikin payanya karena nomor kita tdk terhubung k WA.. klo misal terblokir kita mo perbaharui kodenya masuk lewat SMS huf paya...
Husni gaspol,5,2026-03-13 17:42:23,aplikasi sangat baik dan sangat nyaman
bendi arianzahh,1,2026-03-13 17:39:47,"susah konsultasi di brimo, ada cara lain ngk ya"
zalfa Aurellisa putri,1,2026-03-13 17:20:48,gabisa login kembali
Adi Nus,1,2026-03-13 17:05:47,apk apa ini ga guna.. gabisa digunakan di hp yg lain jika
Alek Ardani,5,2026-03-13 16:59:44,Tul mantul
Fitra Syahwa,1,2026-03-13 16:59:34,"saran dari pihak email tidak berpengaruh apa-apa, brimo masih tetap lag parah dengan layar putih terus menerus!!!"
Almir Store,5,2026-03-13 16:55:19,mudah dipahami dan cepat untuk transaksi
wong waras,3,2026-03-13 16:50:25,min kenapa brimo saya selalu ada potongan ya?
farsyafasa fasa,5,2026-03-13 16:39:26,topppp
hasna hamid,5,2026-03-13 16:38:18,👍 Brimo memang TOP
Juhariahrahayu Rahayu,5,2026-03-13 16:31:42,terasa mudah buat transaksi
May Maryamah,5,2026-03-13 16:30:26,ok pengiriman cepat
sarwo bomber,5,2026-03-13 16:21:54,recomended bnget
Brantas Channel,5,2026-03-13 16:21:45,mantab semua jd lebih mudah
Agung 86,5,2026-03-13 16:17:23,baik dan mudah aktifitas dgn brimo
Siti Mahsunah,5,2026-03-13 16:11:30,Sangat membantu dan efisien
Saipul Aripin,5,2026-03-13 15:57:02,"udah 3, Hasri brimo saya ga bisa di buka ngeblank trus"
Irna,1,2026-03-13 15:54:58,kalau buka aplikasi M-banking tidak bisa keluarnya layar putih
Reza Jaya,5,2026-03-13 15:54:10,"mhn di perbaiki lg donk,,, ini utk yg ke 2 x nya brimo saya wkt di buka tampilannya putih aja"
Sukirno Sukirno,1,2026-03-13 15:51:35,"tolong donk BRI di perbaiki aplikasi nya, tiap kali mo log in selalu muncul blank space"
Aris Sigit,5,2026-03-13 15:33:15,Sampai saat ini sih bagus
Daeng 2024,5,2026-03-13 15:27:23,"Sangat Membantu, Terima Kasih⁉️🙏"
W Mards,4,2026-03-13 15:24:47,mohon untuk di adakan di Android versi 6.0 versi lama
Braay kids,4,2026-03-13 15:04:16,tolong dong di perbaiki buat brimo. masa setiap mau login yg keluar layar putih trus
suwar di,5,2026-03-13 14:59:17,alhamdulilah transaksi mudah dan lancar
Hadi Xuands,1,2026-03-13 14:51:45,"jangan mau pake bri kalo gak mau saldo nya terus terpotong, bukan potongan bulanan tapi ntah saya juga bingung, saldo 100rb blom 1 bulan udah berceceran dana keluar terus, sampe sisa 13ribu dari 100rb, ntah itu dana keluar apa, yg jelas sllu begitu.. beda sama mandiri, kalo mandiri 15ribu itu potongan bulanan wajar lah, coba bri, rakus banget"
Tina Hermis,5,2026-03-13 14:50:06,Pelayanan cepat
Ragil Channel,5,2026-03-13 14:49:05,enak dipakenya
sri tjahjaningsih,1,2026-03-13 14:47:26,"brimo makin gak jelas,mau daftar susah banget"
SRI ANDRIANA,1,2026-03-13 14:44:54,daftar brimo dipersulit karena nomor HP...
Ida Siti Kusmiati,5,2026-03-13 14:35:20,"kak mohon maaf, gabisa buka aplikasi, keluar lagi keluar lagi dari kmarin, pdhal td saya udah update"
Ida Ida,5,2026-03-13 14:21:50,bertahun2 pake BRI🥰
Fauzi aja123,1,2026-03-13 14:07:03,selalu gk bsa d buka brimo hanya keluar layar putih gmna pelayanan ini udh 3 x ini
Rudi Yansah,5,2026-03-13 13:54:22,aplikasi yq sangat mudh dan cepat untuk transaki
Nuriantika Sari,2,2026-03-13 13:53:47,"Tolong ini apk nya knpa ya error trs setiap mau buka layarnya putih, udh pake semua cara masih aja sama seperti itu tdk Ada perubahan. Tolong di perbaiki kalo begini trs jd Males pake brimo mending beralih ke BANK LAIN !!! TOLONG SEGERA DI PERBAIKIN PIHAK YG BERTANGGUNG JWB CAPEK BGT DAH GUE."
